Start Date,Start Date,Start Time,Distance,Duration,W° of Start,N° of Start,W° of Finish,N° of Finish
Monday,10-9-2018,14:07,0.18,0:01,-85.38053,31.26749,-85.38093,31.26931
Monday,10-9-2018,15:17,0.35,0:06,-85.38079,31.26932,-85.37725,31.27154
Monday,10-9-2018,15:26,0.55,0:02,-85.37725,31.27154,-85.38025,31.26742
Monday,10-9-2018,15:33,0.32,0:05,-85.38005,31.26732,-85.38094,31.26948
Monday,10-9-2018,17:48,4.47,0:08,-85.38073,31.26924,-85.43729,31.24988
Monday,10-9-2018,18:23,5.98,0:20,-85.43729,31.24988,-85.43717,31.25031
Tuesday,11-9-2018,7:16,10.52,0:30,-85.43722,31.25028,-85.46515,31.31445
Tuesday,11-9-2018,10:44,4.19,0:12,-85.46515,31.31445,-85.44382,31.26627
Tuesday,11-9-2018,11:01,1.51,0:03,-85.44382,31.26627,-85.43726,31.24985
Tuesday,11-9-2018,12:27,5.72,0:11,-85.43677,31.24947,-85.46857,31.31481
Tuesday,11-9-2018,13:44,6.94,0:11,-85.46857,31.31481,-85.38048,31.26739
Tuesday,11-9-2018,14:01,0.17,0:01,-85.38044,31.26737,-85.38097,31.26929
Tuesday,11-9-2018,17:57,4.5,0:08,-85.38097,31.26929,-85.43721,31.25028
Wednesday,12-9-2018,7:36,5.51,0:14,-85.43711,31.2502,-85.46478,31.31458
Wednesday,12-9-2018,10:58,5.48,0:13,-85.46478,31.31458,-85.43723,31.24983
Wednesday,12-9-2018,12:33,5.84,0:12,-85.43755,31.24962,-85.46869,31.31487
Wednesday,12-9-2018,13:43,6.95,0:44,-85.46856,31.31395,-85.38089,31.26943
Wednesday,12-9-2018,15:17,5.88,0:14,-85.38086,31.26943,-85.43388,31.2288
Wednesday,12-9-2018,15:34,0.1,0:01,-85.43414,31.22891,-85.43407,31.22986
Wednesday,12-9-2018,15:38,1.44,0:03,-85.4343,31.22995,-85.43717,31.25022
Wednesday,12-9-2018,17:40,0.8,0:03,-85.43717,31.25022,-85.43525,31.23967
Wednesday,12-9-2018,19:31,0.83,0:03,-85.43518,31.23976,-85.43695,31.25031
Thursday,13-9-2018,7:31,5.54,0:18,-85.43719,31.25024,-85.46528,31.31448
Thursday,13-9-2018,10:45,5.52,0:11,-85.46528,31.31448,-85.43732,31.2499
Thursday,13-9-2018,12:32,5.82,0:13,-85.43715,31.24976,-85.4684,31.31501
Thursday,13-9-2018,14:05,6.85,0:14,-85.4684,31.31501,-85.38101,31.26972
Thursday,13-9-2018,15:13,4.44,0:50,-85.38096,31.26972,-85.43727,31.24986
Thursday,13-9-2018,17:14,4.88,0:17,-85.43688,31.24985,-85.40373,31.20675
Thursday,13-9-2018,21:52,8.37,0:18,-85.40364,31.20674,-85.38113,31.26916
Thursday,13-9-2018,22:27,4.5,0:07,-85.38114,31.26913,-85.43716,31.25019
Friday,14-9-2018,14:15,4.47,0:09,-85.43683,31.24995,-85.38104,31.26931
Friday,14-9-2018,15:17,4.5,1:08,-85.38104,31.26931,-85.43715,31.25029
Sunday,16-9-2018,11:23,6.15,0:24,-85.43657,31.23997,-85.49573,31.23265
Sunday,16-9-2018,13:45,4.91,0:12,-85.4955,31.23389,-85.43715,31.25028
Sunday,16-9-2018,19:56,4.64,0:10,-85.43652,31.2505,-85.48772,31.23607
Sunday,16-9-2018,21:19,4.7,0:09,-85.48781,31.23631,-85.43717,31.25027
Monday,17-9-2018,7:32,5.55,0:19,-85.43651,31.25043,-85.4654,31.31447
Monday,17-9-2018,10:48,24.12,1:09,-85.46501,31.31428,-85.46887,31.31494
Monday,17-9-2018,13:45,6.88,0:13,-85.46853,31.31536,-85.38105,31.26939
Monday,17-9-2018,17:52,4.5,0:09,-85.38062,31.26948,-85.43717,31.25025
Tuesday,18-9-2018,7:33,5.52,0:16,-85.43734,31.25037,-85.46492,31.31439
Tuesday,18-9-2018,11:10,5.5,0:11,-85.46456,31.31417,-85.43734,31.2499
Tuesday,18-9-2018,12:21,5.72,0:15,-85.43749,31.25,-85.46848,31.31478
Tuesday,18-9-2018,13:41,6.85,0:11,-85.46828,31.31516,-85.38105,31.26931
Tuesday,18-9-2018,17:56,4.5,0:09,-85.38096,31.26964,-85.43718,31.25029
Wednesday,19-9-2018,7:33,5.55,0:19,-85.43687,31.24996,-85.46537,31.31445
Wednesday,19-9-2018,10:39,5.52,0:12,-85.46537,31.31445,-85.43733,31.24991
Wednesday,19-9-2018,12:30,6.02,0:13,-85.43757,31.24994,-85.46886,31.31464
Wednesday,19-9-2018,13:44,5.7,0:12,-85.46886,31.31464,-85.43725,31.24983
Wednesday,19-9-2018,14:51,2.99,0:08,-85.43741,31.24955,-85.45526,31.23716
Wednesday,19-9-2018,15:47,4.11,0:14,-85.45526,31.23716,-85.44492,31.20597
Wednesday,19-9-2018,16:39,3.79,0:09,-85.44474,31.2061,-85.43731,31.24982
Wednesday,19-9-2018,17:32,0.79,0:05,-85.43731,31.24982,-85.43622,31.24432
